city,comparable,date,new_cases_raw,new_cases_7dayMA,new_cases_per1M_raw,new_cases_per1M_7dayMA,new_deaths_raw,new_deaths_7dayMA,new_deaths_per10M_raw,new_deaths_per10M_7dayMA
Cleveland,0,2020-12-26,1269,802.857142857143,102.021373839597,64.5457751861462,2,4.85714285714286,16.079018729645,39.0490454862806
Cleveland,0,2020-12-27,596,721.571428571429,47.915475814342,58.0108025738834,0,4.85714285714286,0,39.0490454862806
Cleveland,0,2020-12-28,411,683,33.0423834894204,54.9098489617376,9,3.28571428571429,72.3555842834024,26.415530770131
Cleveland,0,2020-12-29,707,687.857142857143,56.839331209295,55.3003394166004,2,2.28571428571429,16.079018729645,18.3760214053085
Cleveland,0,2020-12-30,716,656.857142857143,57.562887052129,52.8080915135054,7,3,56.2765655537574,24.1185280944675
Cleveland,0,2020-12-31,886,655,71.2300529723272,52.6587863395873,2,3.14285714285714,16.079018729645,25.2670294322992
Cleveland,0,2021-01-01,0,655,0,52.6587863395873,0,3.14285714285714,0,25.2670294322992
Cleveland,0,2021-01-02,1605,703,129.034125305401,56.5177508347021,2,3.14285714285714,16.079018729645,25.2670294322992
Cleveland,0,2021-01-03,778,729,62.5473828583189,58.6080232695559,1,3.28571428571429,8.03950936482248,26.415530770131
Cleveland,0,2021-01-04,596,755.428571428571,47.915475814342,60.7327507445447,8,3.14285714285714,64.3160749185799,25.2670294322992
Cleveland,0,2021-01-05,548,732.714285714286,44.0565113192272,58.9066336173922,6,3.71428571428571,48.2370561889349,29.8610347836264
Cleveland,0,2021-01-06,535,706.857142857143,43.0113751018003,56.8278461959167,17,5.14285714285714,136.671659201982,41.3460481619442
Cleveland,0,2021-01-07,921,711.857142857143,74.0438812500151,57.2298216641578,2,5.14285714285714,16.079018729645,41.3460481619442
Cleveland,0,2021-01-08,717,814.285714285714,57.6432821457772,65.4645762564117,4,5.71428571428571,32.1580374592899,45.9400535132713
Cleveland,0,2021-01-09,830,703.571428571429,66.7279277280266,56.5636908882153,1,5.57142857142857,8.03950936482248,44.7915521754396
Cleveland,0,2021-01-10,692,691.285714285714,55.6334048045716,55.57597973768,17,7.85714285714286,136.671659201982,63.1675735807481
Cleveland,0,2021-01-11,872,730.714285714286,70.1045216612521,58.7458434300957,0,6.71428571428571,0,53.9795628780938
Cleveland,0,2021-01-12,739,758,59.4119742060382,60.9394809853544,6,6.71428571428571,48.2370561889349,53.9795628780938
Cleveland,0,2021-01-13,664,776.428571428571,53.3823421824213,62.4210477111574,1,4.42857142857143,8.03950936482248,35.6035414727853
Cleveland,0,2021-01-14,628,734.571428571429,50.4881188110852,59.0559387913103,2,4.42857142857143,16.079018729645,35.6035414727853
Cleveland,0,2021-01-15,647,724.571428571429,52.0156255904015,58.2519878548281,6,4.71428571428571,48.2370561889349,37.9005441484489
Cleveland,0,2021-01-16,617,694.142857142857,49.6037727809547,55.8056800052464,2,4.85714285714286,16.079018729645,39.0490454862806
Cleveland,0,2021-01-17,652,688.428571428571,52.4176010586426,55.3462794701136,40,8.14285714285714,321.580374592899,65.4645762564117
Cleveland,0,2021-01-18,435,626,34.9718657369778,50.3273286237888,50,15.2857142857143,401.975468241124,122.889643148001
Cleveland,0,2021-01-19,567,601.428571428571,45.5840180985435,48.3519063227181,3,14.8571428571429,24.1185280944675,119.444139134506
